"link","title","depth","statusCode"
"https://medium.com/the-mission/why-most-people-will-never-be-successful-c93631357133?source=top_stories---------1---------#--responses",,2,200
"https://theringer.com/@Kevin.Clark",,2,302
"https://theringer.com/@Kevin.Clark?source=top_stories---------2---------",,2,302
"https://theringer.com?source=top_stories---------2---------",,2,302
"https://theringer.com/bill-belichick-patriots-coaching-insults-sarcasm-humor-e5438e05f13?source=top_stories---------2---------",,2,302
"https://theringer.com/bill-belichick-patriots-coaching-insults-sarcasm-humor-e5438e05f13?source=top_stories---------2---------#--responses",,2,302
"https://theringer.com/@kevin.oconnor",,2,302
"https://theringer.com/@kevin.oconnor?source=top_stories---------3---------",,2,302
"https://theringer.com?source=top_stories---------3---------",,2,302
"https://theringer.com/nba-footwork-demar-derozan-giannis-antetokounmpo-jj-redick-c7819c1289b9?source=top_stories---------3---------",,2,302
"https://theringer.com/nba-footwork-demar-derozan-giannis-antetokounmpo-jj-redick-c7819c1289b9?source=top_stories---------3---------#--responses",,2,302
"https://medium.freecodecamp.com/@housecor",,2,302
"https://medium.freecodecamp.com/@housecor?source=top_stories---------4---------",,2,302
"https://medium.freecodecamp.com?source=top_stories---------4---------",,2,302
"https://medium.freecodecamp.com/heres-why-client-side-rendering-won-46a349fadb52?source=top_stories---------4---------",,2,302
"https://medium.freecodecamp.com/heres-why-client-side-rendering-won-46a349fadb52?source=top_stories---------4---------#--responses",,2,302
"https://mondaynote.com/@gassee",,2,302
"https://mondaynote.com/@gassee?source=top_stories---------5---------",,2,302
"https://mondaynote.com?source=top_stories---------5---------",,2,302
"https://mondaynote.com/macbook-pro-launch-perplexing-b47003037b2e?source=top_stories---------5---------",,2,302
"https://mondaynote.com/macbook-pro-launch-perplexing-b47003037b2e?source=top_stories---------5---------#--responses",,2,302
"https://medium.com/@dibyachakravorty",,2,200
"https://medium.com/@dibyachakravorty?source=top_stories---------6---------",,2,200
"https://medium.com/broken-window?source=top_stories---------6---------",,2,200
"https://medium.com/broken-window/my-search-for-a-macbook-pro-alternative-e549ea2b2dee?source=top_stories---------6---------",,2,200
"https://medium.com/broken-window/my-search-for-a-macbook-pro-alternative-e549ea2b2dee?source=top_stories---------6---------#--responses",,2,200
"https://medium.freecodecamp.com/@twm013",,2,302
"https://medium.freecodecamp.com/@twm013?source=top_stories---------7---------",,2,302
"https://medium.freecodecamp.com?source=top_stories---------7---------",,2,302
"https://medium.freecodecamp.com/how-doing-something-i-love-landed-me-a-top-tier-tech-internship-fe78d8b74e48?source=top_stories---------7---------",,2,302
"https://medium.freecodecamp.com/how-doing-something-i-love-landed-me-a-top-tier-tech-internship-fe78d8b74e48?source=top_stories---------7---------#--responses",,2,302
"https://medium.com/@jaycaspiankang?source=top_stories---------8---------",,2,200
"https://medium.com/kang-blog?source=top_stories---------8---------",,2,200
"https://medium.com/kang-blog/an-open-letter-to-fellow-minority-journalists-2ccf3f1bbfeb?source=top_stories---------8---------",,2,200
"https://medium.com/kang-blog/an-open-letter-to-fellow-minority-journalists-2ccf3f1bbfeb?source=top_stories---------8---------#--responses",,2,200
"https://medium.com/@alltopstartups",,2,200
"https://medium.com/@alltopstartups?source=top_stories---------9---------",,2,200
"https://medium.com/the-mission?source=top_stories---------9---------",,2,200
"https://medium.com/the-mission/get-1-better-every-day-the-kaizen-approach-to-self-improvement-b79c9e045678?source=top_stories---------9---------",,2,200
"https://medium.com/the-mission/get-1-better-every-day-the-kaizen-approach-to-self-improvement-b79c9e045678?source=top_stories---------9---------#--responses",,2,200
"https://medium.com/@sophiesabbage?source=top_stories---------10---------",,2,200
"https://medium.com/@sophiesabbage/darling-mommy-might-die-e3449e4e1ddf?source=top_stories---------10---------",,2,200
"https://medium.com/@sophiesabbage/darling-mommy-might-die-e3449e4e1ddf?source=top_stories---------10---------#--responses",,2,200
"https://medium.com/@danieleckler",,2,200
"https://medium.com/@danieleckler?source=top_stories---------11---------",,2,200
"https://medium.com/swlh?source=top_stories---------11---------",,2,200
"https://medium.com/swlh/mediums-best-design-writing-of-2016-68de5ed2b7d9?source=top_stories---------11---------",,2,200
"https://medium.com/swlh/mediums-best-design-writing-of-2016-68de5ed2b7d9?source=top_stories---------11---------#--responses",,2,200
"https://theringer.com/@ringer",,2,302
"https://theringer.com/@ringer?source=top_stories---------12---------",,2,302
"https://theringer.com?source=top_stories---------12---------",,2,302
"https://theringer.com/ten-more-star-wars-stories-we-want-to-see-eecf1506c4fb?source=top_stories---------12---------",,2,302
"https://theringer.com/ten-more-star-wars-stories-we-want-to-see-eecf1506c4fb?source=top_stories---------12---------#--responses",,2,302
"https://medium.com/@mmeditations",,2,200
"https://medium.com/@mmeditations?source=top_stories---------13---------",,2,200
"https://medium.com/personal-growth?source=top_stories---------13---------",,2,200
"https://medium.com/personal-growth/30-things-ive-carried-for-15-months-on-the-road-an-essay-on-minimalism-2e5af3fd7792?source=top_stories---------13---------",,2,200
"https://medium.com/personal-growth/30-things-ive-carried-for-15-months-on-the-road-an-essay-on-minimalism-2e5af3fd7792?source=top_stories---------13---------#--responses",,2,200
"https://theringer.com/@robert.mays",,2,302
"https://theringer.com/@robert.mays?source=top_stories---------14---------",,2,302
"https://theringer.com?source=top_stories---------14---------",,2,302
"https://theringer.com/nfl-week-14-recap-green-bay-packers-aaron-rodgers-6b00e6410b98?source=top_stories---------14---------",,2,302
"https://theringer.com/nfl-week-14-recap-green-bay-packers-aaron-rodgers-6b00e6410b98?source=top_stories---------14---------#--responses",,2,302
"https://iot-for-all.com/@hannahlizwhite",,2,302
"https://iot-for-all.com/@hannahlizwhite?source=top_stories---------15---------",,2,302
"https://iot-for-all.com?source=top_stories---------15---------",,2,302
"https://iot-for-all.com/amazon-go-were-all-f-cked-e6fb885f94c4?source=top_stories---------15---------",,2,302
"https://iot-for-all.com/amazon-go-were-all-f-cked-e6fb885f94c4?source=top_stories---------15---------#--responses",,2,302
"https://discord.engineering/@jesse_11222",,2,302
"https://discord.engineering/@jesse_11222?source=top_stories---------16---------",,2,302
"https://discord.engineering?source=top_stories---------16---------",,2,302
"https://discord.engineering/how-discord-handles-push-request-bursts-of-over-a-million-per-minute-with-elixirs-genstage-8f899f0221b4?source=top_stories---------16---------",,2,302
"https://discord.engineering/how-discord-handles-push-request-bursts-of-over-a-million-per-minute-with-elixirs-genstage-8f899f0221b4?source=top_stories---------16---------#--responses",,2,302
"https://medium.com/@sfali789",,2,200
"https://medium.com/@sfali789?source=top_stories---------17---------",,2,200
"https://medium.com/swlh?source=top_stories---------17---------",,2,200
"https://medium.com/swlh/medium-doesnt-want-me-to-be-medium-s-resident-cheerleader-anymore-i-m-sorry-4a2ff02f05bb?source=top_stories---------17---------",,2,200
"https://medium.com/swlh/medium-doesnt-want-me-to-be-medium-s-resident-cheerleader-anymore-i-m-sorry-4a2ff02f05bb?source=top_stories---------17---------#--responses",,2,200
"https://medium.com/@mmeditations?source=top_stories---------18---------",,2,200
"https://medium.com/startup-grind?source=top_stories---------18---------",,2,200
"https://medium.com/startup-grind/choice-minimalism-why-mark-zuckerberg-wears-the-same-thing-every-day-2f132f1b5706?source=top_stories---------18---------",,2,200
"https://medium.com/startup-grind/choice-minimalism-why-mark-zuckerberg-wears-the-same-thing-every-day-2f132f1b5706?source=top_stories---------18---------#--responses",,2,200
"https://medium.com/@kickstarter",,2,200
"https://medium.com/@kickstarter?source=top_stories---------19---------",,2,200
"https://medium.com/kickstarter?source=top_stories---------19---------",,2,200
"https://medium.com/kickstarter/our-tech-predictions-for-2017-5810bb931d63?source=top_stories---------19---------",,2,200
"https://medium.com/kickstarter/our-tech-predictions-for-2017-5810bb931d63?source=top_stories---------19---------#--responses",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40cl_christensen%2Fwe-cant-afford-east-liberty-anymore-c0dc10fb8538%3Fsource%3Dreading_list---------2-3--------",,2,200
"https://medium.com/@cl_christensen?source=post_header_lockup",,2,200
"http://1hood.org/",,2,200
"https://medium.com/tag/housing?source=post",,2,200
